"config","n_customers","avg_wait_service","avg_wait_pickup","avg_total_time","service_util","pickup_util"
"B (2+1)",254,1.64046110894598,107.439661791963,113.86236591422,0.393095917057389,1.23829104152043
"B (2+1)",298,0.460882283483137,194.505083749724,199.814534886072,0.398860202998155,1.61040212425986
"B (2+1)",281,1.34879936889739,140.625495594245,146.816396000703,0.441814473473328,1.38408837231094
"B (2+1)",285,1.15434684715635,148.330325719971,154.356579554688,0.444763953104944,1.42462791288184
"B (2+1)",302,1.77068719097561,131.531809258075,137.737872496026,0.46829582236498,1.29588096558102
"B (2+1)",286,2.79227835111312,145.389921931712,152.994170116529,0.470113007346084,1.35347960604001
"B (2+1)",282,0.926902740232925,95.4555508634283,101.03625964168,0.412026497773312,1.36323584232211
"B (2+1)",272,1.47705475285695,82.486202866829,88.5799252096744,0.424198173444718,1.24449296057199
"B (2+1)",302,1.00437363219788,161.69847809471,167.459987325203,0.465725093388898,1.46297473103057
"B (2+1)",262,1.19562277713524,113.831107872642,119.58976592026,0.382737927563102,1.22704954631778
"B (2+1)",258,0.725239543149715,72.2122872034717,77.6589650475146,0.426193424195693,1.17783162099272
"B (2+1)",268,0.432551524399506,129.480261012627,134.573624812075,0.359109590178214,1.36361030249849
"B (2+1)",277,0.607428822940495,152.340024009478,157.493595107895,0.390111318963839,1.31857971258397
"B (2+1)",282,0.938485511819129,90.0763929559422,95.4394906384506,0.407598947927185,1.26436982436958
"B (2+1)",286,0.359402339344937,192.863510771006,198.105886567132,0.384389235921079,1.55877220922352
"B (2+1)",268,0.851628897120943,98.1956463075171,103.490302608697,0.399113242086309,1.18632575630725
"B (2+1)",270,1.07440457922578,90.8473546841073,96.5467978824301,0.405635685561172,1.26999600747133
"B (2+1)",275,1.62602914098893,132.835099061252,139.303540248356,0.430557799954387,1.35832325456057
"B (2+1)",242,0.938169097582529,69.4297850755107,75.0172162593412,0.364117784804722,1.14696680517722
"B (2+1)",281,1.09375135323172,178.927171385027,185.228518061771,0.42721077714378,1.5844689222238
"B (2+1)",256,1.36348351194556,117.297866444274,123.526784651241,0.390380649624344,1.29515750396052
"B (2+1)",280,0.895795799804897,163.861127288817,169.656669451377,0.410202814842075,1.4661426729349
"B (2+1)",282,0.692960512921873,123.22202158698,128.679743051946,0.42550295426918,1.38843173892243
"B (2+1)",268,0.806342034811744,128.826166323708,134.228052824283,0.382078900195619,1.28851872764997
"B (2+1)",292,1.16353523187317,123.902895947404,129.951271524367,0.442233501605111,1.49282196473353
"B (2+1)",287,1.50051687840443,108.37353718545,114.49133947778,0.439794443911341,1.32901263517176
"B (2+1)",246,0.520827764730437,127.57274212163,133.100757398096,0.365321366927568,1.32230414595678
"B (2+1)",245,0.887623795305067,72.2496431018154,77.9050852745128,0.368217989450097,1.21042319186837
"B (2+1)",264,0.428025638946116,89.5455791194109,94.8623941660918,0.383280214631353,1.38450691014059
"B (2+1)",267,1.03391273532921,120.581536785261,126.445141117469,0.411902951479892,1.32540685765148
"B (2+1)",260,0.691374792634956,90.9735171908825,96.2375697982623,0.367190791305258,1.24711213711227
"B (2+1)",305,3.0647992703945,162.1491664269,169.976242397345,0.473717149037665,1.4733896911172
"B (2+1)",287,1.90203706698218,180.933869208939,187.76200635331,0.435932227309286,1.48445341573245
"B (2+1)",307,2.17694110153892,194.244327073661,201.417172271688,0.46899045622592,1.6182566835847
"B (2+1)",277,1.13574547768743,156.414554113099,162.685870616644,0.480760342976045,1.40940127098533
"B (2+1)",294,0.802355781147011,152.410924847163,157.849689026679,0.425802723773333,1.42023466765399
"B (2+1)",281,1.59401030319285,175.808070909307,182.574242727656,0.434865203222159,1.55256523648737
"B (2+1)",295,0.838717723228592,132.737721512698,138.451450199778,0.450661235488241,1.4955579195838
"B (2+1)",304,2.08606692897068,140.489343181806,147.209186121298,0.485924663816209,1.37593051769821
"B (2+1)",286,1.0531744962131,167.874138637667,173.869821826046,0.429618721949823,1.49669169936621
"B (2+1)",268,3.64586489915349,72.9837363472401,81.1266478789712,0.39843101526889,1.21181879868021
"B (2+1)",285,1.89848218839209,161.910333844521,168.627527979002,0.412932781577732,1.46302261123639
"B (2+1)",248,0.80524385402523,60.9064387661851,66.3708714695655,0.381136061690169,1.16352593435312
"B (2+1)",246,1.4045802276434,54.8281738885557,60.7627362139261,0.37352663197903,1.11023939611001
"B (2+1)",279,0.795944644330389,129.837574961248,135.372464116513,0.407641787606034,1.38832562237243
"B (2+1)",262,2.96076772489832,97.2091096496184,104.903065331072,0.434773243743457,1.19727892020885
"B (2+1)",289,1.27550343940076,154.292811846805,160.343837025663,0.415228592364347,1.46975245311028
"B (2+1)",277,0.478292724970833,168.331911970244,173.627825978813,0.397441402898149,1.4292523534649
"B (2+1)",271,0.50960625170104,189.262356345395,194.733082094973,0.404662065618346,1.43144817530427
"B (2+1)",301,0.524310547125359,150.522960499522,155.402084124399,0.392005417809368,1.40065372505319
"B (2+1)",251,0.744385020400419,130.181332984298,136.092347823773,0.383148425958271,1.39507662239624
"B (2+1)",281,1.028502977336,83.6096171324768,89.1160606758588,0.411050427566371,1.27506797663213
"B (2+1)",311,4.78594473246552,145.595809310255,155.093017509575,0.462631829079229,1.51674123882761
"B (2+1)",301,1.3026622182094,203.96051601384,210.343980269059,0.487272324993513,1.57432437191282
"B (2+1)",288,1.48197145674749,149.174451363765,155.504307004157,0.444630182771626,1.43772404260655
"B (2+1)",274,0.713338083803671,147.526927959414,153.308205213554,0.431612303557882,1.45113428067125
"B (2+1)",272,1.20571730319232,127.094832608137,133.43411138431,0.459162549835555,1.40888943474691
"B (2+1)",269,0.674069497290935,157.410794874402,163.038089457615,0.427404657333464,1.36588659885518
"B (2+1)",290,1.65923610739184,138.719592480473,145.057956340941,0.438383464939999,1.38481148410672
"B (2+1)",287,1.45259547260047,174.253900845228,180.620596476087,0.446545739927765,1.45748642917793
"B (2+1)",267,1.44503579226794,83.2415082971777,89.2782793681579,0.417978811521466,1.20736457598404
"B (2+1)",253,0.694984985636125,134.706197129082,140.450609839481,0.403452963253965,1.32226943076709
"B (2+1)",315,1.33944763766844,209.923480868573,215.841637507813,0.452509609535581,1.49880300675354
"B (2+1)",294,1.5212683598228,123.25080112984,129.29989379784,0.427415610758784,1.363802689489
"B (2+1)",268,0.881709899321591,93.3218246420566,98.7111207155216,0.390026755789151,1.23333497953909
"B (2+1)",256,0.428898386788365,132.957399884246,138.380715274508,0.368692429319124,1.3935663961775
"B (2+1)",268,0.360742151559037,146.359600888176,151.603676465801,0.366289684657615,1.44864289432788
"B (2+1)",273,1.4606443007347,152.446315450187,158.791745474689,0.408360810822382,1.40585588266924
"B (2+1)",290,0.796538789251111,149.7734473609,155.377641823827,0.404382563941627,1.51493511439358
"B (2+1)",261,0.643429116717974,99.7039874457475,105.043145989346,0.379712995391147,1.28321630991067
"B (2+1)",245,0.793321366136006,105.694288594503,111.274953370825,0.373560692582773,1.2077105073272
"B (2+1)",240,0.345895533712455,99.731930754857,105.127992728443,0.368568328794836,1.28292991835963
"B (2+1)",258,1.18007750225776,141.03858290805,147.197195517773,0.412278424909573,1.31621324639091
"B (2+1)",304,1.48934462551774,246.670683928552,253.413813926897,0.458300757739979,1.7453164067527
"B (2+1)",300,1.92570438036701,195.58164301585,202.434031990407,0.441125844493376,1.58109060810841
"B (2+1)",270,0.663010607495168,116.396106491728,121.793360922867,0.389639672465472,1.35113037570839
"B (2+1)",279,0.968049949566815,177.043756490703,183.09056207411,0.393827631228866,1.57396610727822
"B (2+1)",282,1.03514277722664,123.521714991402,129.275548298088,0.406521861158172,1.40474082652925
"B (2+1)",261,0.839750777651968,138.372581708998,144.07928930379,0.416089039481515,1.28494813649275
"B (2+1)",263,1.51345636665472,129.960591515738,136.711916041203,0.453910387993238,1.38811143362529
"B (2+1)",250,0.419719409622669,99.0889197149605,104.299169733532,0.33516137625015,1.32573166789498
"B (2+1)",271,0.611325318009246,106.947238601105,112.364330766782,0.410170660397455,1.3502633720684
"B (2+1)",294,3.33171882454813,73.4392725242069,81.3707294441996,0.466997805803875,1.31987605516012
"B (2+1)",280,1.79250952982674,104.130020149875,110.561072931173,0.443755113533214,1.27714329028662
"B (2+1)",332,2.0496089382164,197.199757236372,203.973312515449,0.509202330883281,1.59551231350923
"B (2+1)",267,0.977742256856959,128.68923291148,134.531202419,0.405332923069986,1.35391528040485
"B (2+1)",274,1.11962856459066,114.578383093223,120.519819854309,0.434782575243187,1.33239392591328
"B (2+1)",263,1.06670490340233,109.823125286931,115.650584737035,0.359999239337367,1.36679893096316
"B (2+1)",271,0.798611953998325,112.43253047736,117.880901350034,0.420967797596913,1.25820551640787
"B (2+1)",278,1.9380130407498,160.248139144259,167.199194915061,0.426968522815387,1.46877275262675
"B (2+1)",263,0.509948355528322,133.076223319637,138.546341729186,0.396455212431754,1.38129744881573
"B (2+1)",283,2.24532723763787,162.251658428926,169.515051264572,0.443822541990566,1.47920918974592
"B (2+1)",276,1.05329849727825,164.718043292763,170.927816460854,0.431759210117058,1.50845992833934
"B (2+1)",264,0.840441782642844,51.6057187467163,57.0573186418599,0.447663413977284,1.13358274154577
"B (2+1)",300,0.876371913306729,188.173912534485,193.709104046453,0.436223388071162,1.45696302318847
"B (2+1)",243,0.238612568982701,126.691767568421,131.998992107702,0.339753594832835,1.37328065830501
"B (2+1)",266,1.61487471181229,146.15760562083,152.678576903312,0.40565847189798,1.36371920253398
"B (2+1)",288,0.647895057997055,203.103269665859,208.923132796927,0.429916056789004,1.62271256149613
"B (2+1)",258,0.456838771572136,139.759370216645,145.196726054063,0.379717215724342,1.38218790686498
"B (2+1)",248,0.586535835398523,128.338213214171,134.133097421591,0.411626331932093,1.329531329905
