"Configuration","Avg_Total_Time","CI_Lower","CI_Upper","Avg_Wait_Service","Avg_Wait_Pickup","Service_Utilization","Pickup_Utilization","Avg_Customers"
"A (1+1)",139.888127657955,130.436158140596,149.340097175313,22.4531264515334,112.628810882052,0.815835462207022,1.37050547144833,272.89
"B (2+1)",140.070787054669,132.476148571534,147.665425537803,1.19905946858272,134.057319481523,0.416462477423445,1.37930053518944,275.8
"C (1+2)",31.6630699002849,30.0249335517718,33.301206248798,22.9457612408102,3.90233734401737,0.828126995147244,0.689987000454228,275.1
"D (2+2)",16.9021324627922,15.8845355976826,17.9197293279018,1.03283873596781,11.0488200310038,0.413373933893294,0.695013755472927,276.08
