"Metric","Mean_Hours","Mean_Minutes","SD_Hours","CI_Lower_Minutes","CI_Upper_Minutes","Count"
"Average System Time",0.82449611425002,49.4697668550012,0.420559504475727,44.5239870823666,54.4155466276357,NA
"Average Wait Time",0.744150070877012,44.6490042526207,0.418251164731679,39.7303705553762,49.5676379498653,NA
"Average Service Window Wait",0.0516677221883976,3.10006333130386,0.0207457854131743,NA,NA,NA
"Average Pickup Window Wait",0.692482348688614,41.5489409213168,0.411852714914584,NA,NA,NA
"Average Customer Count",NA,NA,NA,NA,NA,212.14
