"Simulation","Avg_System_Time_Hours","Avg_System_Time_Minutes","Avg_Wait_Time_Minutes","Avg_S1_Wait_Minutes","Avg_S2_Wait_Minutes","Total_Customers"
1,0.43018444113663,25.8110664681978,21.1575174431553,2.02598392206609,19.1315335210892,209
2,0.369070627929595,22.1442376757757,17.212198711527,2.54817517148122,14.6640235400458,200
3,0.369510975334608,22.1706585200765,17.5844627102802,2.02965900005541,15.5548037102248,208
4,2.09922313274355,125.953387964613,120.420917669281,3.89209121102048,116.52882645826,217
5,0.515701384861801,30.9420830917081,26.3465491958892,3.5122733412444,22.8342758546448,193
6,0.561652979530903,33.6991787718542,29.1050358878501,2.31191194954238,26.7931239383077,208
7,1.0220452263385,61.3227135803097,56.1966901935693,3.00443933553553,53.1922508580338,218
8,1.30201981006094,78.1211886036563,73.4672828752188,1.85797181332756,71.6093110618912,222
9,1.23986612237567,74.3919673425402,69.5189682995014,3.20807660880651,66.3108916906949,215
10,0.264947593249983,15.896855594999,11.0891837743065,1.8819809198605,9.20720285444597,180
11,0.783370229067062,47.0022137440237,42.2842079975753,2.98313942427793,39.3010685732974,221
12,2.0366276951275,122.19766170765,117.000189836131,5.16501311612118,111.83517672001,225
13,0.303042299661093,18.1825379796656,13.4547053859337,2.8431578031878,10.6115475827459,198
14,0.41139192585886,24.6835155515316,20.0172408687469,3.45263249880461,16.5646083699423,218
15,0.557116080843975,33.4269648506385,28.4975144687772,1.27345640703689,27.2240580617404,206
16,1.14963533914477,68.9781203486861,64.1715352177926,3.85571874275834,60.3158164750342,215
17,0.61106831043065,36.664098625839,32.1824523037045,2.27621286042946,29.9062394432751,220
18,0.447404318423262,26.8442591053957,22.2632988407335,4.5255784371067,17.7377204036268,214
19,0.477619515344155,28.6571709206493,24.0619784096077,1.75514438240638,22.3068340272013,206
20,0.353601362166466,21.2160817299879,16.5982612549133,2.39935157559357,14.1989096793197,199
21,1.16481473150691,69.8888838904148,64.8049763577415,2.38107860181943,62.423897755922,218
22,0.362778646305739,21.7667187783444,16.9912684097468,1.84844025241679,15.14282815733,204
23,0.939062884385849,56.343773063151,51.2189030624616,3.04585399257291,48.1730490698887,203
24,0.798003314514111,47.8801988708467,43.170603564564,2.8927154559897,40.2778881085743,221
25,1.07643639768499,64.5861838610996,59.6725838096237,1.89461914103802,57.7779646685856,222
26,0.492596946985987,29.5558168191592,24.6351360148929,3.16123287425616,21.4739031406367,194
27,0.757828930239508,45.4697358143705,40.9747821186484,3.41650442559482,37.5582776930536,212
28,0.389221908064806,23.3533144838883,18.7453087921017,2.47864149930699,16.2666672927947,219
29,0.336318480140301,20.179108808418,15.6753842161818,1.91443073285398,13.7609534833278,212
30,0.661601053707811,39.6960632224687,34.9382048833044,2.32905608646262,32.6091487968418,213
31,0.791835474630839,47.5101284778503,42.454948967094,2.13928917087531,40.3156597962187,200
32,0.944431537480249,56.6658922488149,51.9594096205254,2.36322035346799,49.5961892670574,235
33,1.38341592488186,83.0049554929117,78.222679477541,3.25187391910439,74.9708055584366,234
34,0.656032262303721,39.3619357382232,34.3427739038119,4.00751145808506,30.3352624457269,200
35,1.18544068680552,71.1264412083314,65.6487853591693,5.0196862428193,60.62909911635,216
36,1.17853727300628,70.7122363803769,66.1279882898888,2.3436767436128,63.784311546276,241
37,0.497616449620038,29.8569869772023,25.2294571146512,3.0208368149525,22.2086202996987,205
38,1.48398351062611,89.0390106375666,84.125616351809,3.11188536805067,81.0137309837583,232
39,1.70348717166277,102.209230299766,96.7411593369306,7.05390938864213,89.6872499482885,219
40,1.69891984743181,101.935190845909,96.8065341645975,3.05718925670573,93.7493449078918,242
41,0.294666234679591,17.6799740807755,13.2551669564845,3.56937548892576,9.68579146755875,207
42,1.02544082454109,61.5264494724656,57.0256055306226,3.19511861911584,53.8304869115068,235
43,0.477921138528161,28.6752683116896,24.0661757696432,2.33809548771278,21.7280802819305,190
44,0.766293500645615,45.9776100387369,41.1153126861318,2.66500949197774,38.450303194154,205
45,0.79445114348453,47.6670686090718,42.8818953883512,2.71575695613874,40.1661384322125,216
46,0.899949384837073,53.9969630902244,48.9669951848257,2.83652917485975,46.130466009966,204
47,1.2066419474723,72.3985168483381,67.290644848851,2.75856011561675,64.5320847332343,220
48,0.498142344436716,29.8885406662029,25.1184476762797,2.40191035955531,22.7165373167244,199
49,1.19476251249347,71.6857507496083,66.2945818241492,5.79191707785245,60.5026647462968,212
50,0.806664456585799,48.399867395148,43.3985483202195,2.86587685641386,40.5326714638057,209
51,1.44762616610815,86.8575699664888,81.8693410324338,3.27194279360151,78.5973982388323,222
52,0.883399687456049,53.0039812473629,47.8522123115792,1.38825619076507,46.4639561208141,197
53,0.321314864031911,19.2788918419147,14.7943026801826,1.66524881532081,13.1290538648618,192
54,0.401100267828815,24.0660160697289,19.4009628132688,3.5689955387587,15.8319672745101,214
55,1.08345178001235,65.0071068007411,59.8820701584281,2.34680735533593,57.5352628030922,207
56,0.383154089581853,22.9892453749112,18.2314122788078,4.09093660233675,14.1404756764711,213
57,0.400198245304565,24.0118947182739,19.4270106023695,3.92566702151703,15.5013435808525,216
58,1.016467656683,60.9880594009802,56.1606459125878,3.30244626612543,52.8581996464624,197
59,0.959280011768888,57.5568007061333,52.7555746692057,1.66755520343674,51.088019465769,211
60,0.391229081142638,23.4737448685583,18.8685240811035,2.61106174779676,16.2574623333068,201
61,0.439824552267052,26.3894731360231,21.2601536569975,3.06868340656102,18.1914702504365,196
62,0.765905608662681,45.9543365197609,40.7523342601107,3.26316813978948,37.4891661203212,201
63,0.979653437823656,58.7792062694194,54.1377432150806,3.66774704583285,50.4699961692478,224
64,1.63150465788403,97.8902794730418,92.8874560244713,3.6021642570585,89.2852917674128,226
65,0.555766512692728,33.3459907615637,28.6745706949084,2.04241502198368,26.6321556729247,215
66,0.543109580269113,32.5865748161468,27.7842537877445,2.56934287358238,25.2149109141622,206
67,0.71556118950946,42.9336713705676,38.3169435865436,3.85718949221103,34.4597540943326,229
68,0.654872163741699,39.292329824502,34.7589881631146,1.67710219866902,33.0818859644456,193
69,0.592079929929477,35.5247957957686,30.8212696906658,4.10454286445891,26.7167268262069,209
70,1.71555126519599,102.93307591176,97.8855462299775,4.09735204302407,93.7881941869534,225
71,0.833085843496663,49.9851506097998,45.5411433888937,3.80382574445055,41.7373176444432,232
72,1.35709592367435,81.4257554204611,76.6081286590425,3.78917063720154,72.818958021841,244
73,0.872539263372586,52.3523558023552,47.342096355101,3.46986332685134,43.8722330282497,229
74,0.815734293032643,48.9440575819586,44.0976688876438,3.28146330129497,40.8162055863488,206
75,1.13372735424321,68.0236412545926,63.3582347487955,3.15914008707161,60.1990946617239,233
76,0.484194272111242,29.0516563266746,24.3608552627075,2.50515946920737,21.8556957935002,187
77,0.653572787631493,39.2143672578895,34.1662983521087,3.39392954830668,30.772368803802,222
78,1.49419347254146,89.6516083524875,84.8867661956975,3.52010758162194,81.3666586140755,233
79,0.34030210523556,20.4181263141336,15.9615440815974,1.93345435170319,14.0280897298942,212
80,1.41943421586007,85.1660529516042,80.323511381764,1.60645453555974,78.7170568462042,203
81,0.531659825939335,31.8995895563601,27.166549362973,2.12611625938511,25.0404331035879,208
82,0.573550608195252,34.4130364917151,29.5961807148001,4.32161088195909,25.274569832841,231
83,0.295454319071296,17.7272591442778,13.1830660944726,2.17807075429464,11.0049953401779,205
84,0.739786459168179,44.3871875500907,39.3304837370736,4.60279844154082,34.7276852955328,191
85,1.07265004955319,64.3590029731917,59.1900849733776,4.31818046940968,54.8719045039679,209
86,0.941054379577493,56.4632627746496,51.8151867178585,2.15478537674092,49.6604013411176,216
87,0.79737069278518,47.8422415671108,42.9235308632273,3.32669293174775,39.5968379314796,204
88,1.10260496226381,66.1562977358289,61.2827089113714,2.75689326467076,58.5258156467007,215
89,0.360011497050141,21.6006898230084,16.9292010742438,1.76516703067676,15.164034043567,192
90,0.696421959438777,41.7853175663266,36.9874427151009,2.66788277075226,34.3195599443487,218
91,0.419655919996906,25.1793551998144,20.3903766393236,2.42298262355194,17.9673940157717,202
92,0.417832590565213,25.0699554339128,20.4551539128852,3.01158739865536,17.4435665142299,195
93,1.07288896915489,64.3733381492936,59.2920606365501,8.30873780894136,50.9833228276087,203
94,0.478185937390896,28.6911562434538,24.0143805026797,2.31320107813365,21.7011794245461,204
95,1.30645634856726,78.3873809140357,73.6289213593826,5.84534996295277,67.7835713964298,259
96,0.528382372622783,31.702942357367,26.8792017436579,1.80742561215835,25.0717761314996,190
97,0.672280535677536,40.3368321406522,35.4400195724548,3.93072818204132,31.5092913904135,195
98,1.10029134704055,66.017480822433,61.005650193567,2.55697828754252,58.4486719060245,208
99,0.708618002366469,42.5170801419881,37.9867385705321,8.10160021918889,29.8851383513432,222
100,1.57712808016387,94.627684809832,89.7058544582666,2.566580387148,87.1392740711186,221
