"Simulation","Overtime_Hours","Overtime_Minutes","Last_Departure_Hours","Last_Departure_Minutes","Total_Customers"
1,1.33337295989597,80.0023775937585,11.333372959896,680.002377593759,209
2,0.231242822666196,13.8745693599718,10.2312428226662,613.874569359972,200
3,0.558757804714336,33.5254682828602,10.5587578047143,633.52546828286,208
4,3.17248497048693,190.349098229216,13.1724849704869,790.349098229216,217
5,0.304759044306953,18.2855426584172,10.304759044307,618.285542658417,193
6,0.43789893373221,26.2739360239326,10.4378989337322,626.273936023933,208
7,1.7470374608275,104.82224764965,11.7470374608275,704.82224764965,218
8,1.38047172730737,82.828303638442,11.3804717273074,682.828303638442,222
9,1.71532368225935,102.919420935561,11.7153236822594,702.919420935561,215
10,0.313177697464079,18.7906618478447,10.3131776974641,618.790661847845,180
11,1.07457614982837,64.4745689897024,11.0745761498284,664.474568989702,221
12,2.21913156193226,133.147893715936,12.2191315619323,733.147893715936,225
13,0.395067788170728,23.7040672902437,10.3950677881707,623.704067290244,198
14,0.570588925866339,34.2353355519803,10.5705889258663,634.23533555198,218
15,1.50947970547153,90.5687823282917,11.5094797054715,690.568782328292,206
16,1.056217977148,63.3730786288799,11.056217977148,663.37307862888,215
17,1.02341303719568,61.4047822317411,11.0234130371957,661.404782231741,220
18,0.559333990507223,33.5600394304334,10.5593339905072,633.560039430433,214
19,0.564297839590337,33.8578703754202,10.5642978395903,633.85787037542,206
20,0.525854799041845,31.5512879425107,10.5258547990418,631.551287942511,199
21,2.01983316968857,121.189990181314,12.0198331696886,721.189990181314,218
22,0.732563840671505,43.9538304402903,10.7325638406715,643.95383044029,204
23,1.37141251384276,82.2847508305655,11.3714125138428,682.284750830565,203
24,0.805175482998688,48.3105289799213,10.8051754829987,648.310528979921,221
25,2.49344628430466,149.60677705828,12.4934462843047,749.60677705828,222
26,0.0913597708466831,5.48158625080099,10.0913597708467,605.481586250801,194
27,0.596932347424165,35.8159408454499,10.5969323474242,635.81594084545,212
28,0.88703313133262,53.2219878799572,10.8870331313326,653.221987879957,219
29,0.890961436053145,53.4576861631887,10.8909614360531,653.457686163189,212
30,1.1071991408267,66.4319484496019,11.1071991408267,666.431948449602,213
31,1.46900662485957,88.1403974915743,11.4690066248596,688.140397491574,200
32,1.37199766810617,82.3198600863704,11.3719976681062,682.31986008637,235
33,2.57468052164051,154.48083129843,12.5746805216405,754.48083129843,234
34,1.14814870695231,68.8889224171385,11.1481487069523,668.888922417139,200
35,2.36975774867827,142.185464920696,12.3697577486783,742.185464920697,216
36,2.25971439770516,135.58286386231,12.2597143977052,735.58286386231,241
37,1.08502566570252,65.101539942151,11.0850256657025,665.101539942151,205
38,1.98265337294042,118.959202376425,11.9826533729404,718.959202376425,232
39,2.66606865126268,159.964119075761,12.6660686512627,759.964119075761,219
40,3.2713833436114,196.283000616684,13.2713833436114,796.283000616684,242
41,0.236658530561831,14.1995118337099,10.2366585305618,614.19951183371,207
42,1.26844619105944,76.1067714635667,11.2684461910594,676.106771463567,235
43,0.0896539151841562,5.37923491104937,10.0896539151842,605.379234911049,190
44,1.66758963890056,100.055378334033,11.6675896389006,700.055378334033,205
45,1.17231483491775,70.3388900950653,11.1723148349178,670.338890095065,216
46,0.97792688281681,58.6756129690086,10.9779268828168,658.675612969009,204
47,1.84316184427129,110.589710656277,11.8431618442713,710.589710656277,220
48,0.327742139311855,19.6645283587113,10.3277421393119,619.664528358711,199
49,3.19050863567797,191.430518140678,13.190508635678,791.430518140678,212
50,1.53809642736173,92.2857856417039,11.5380964273617,692.285785641704,209
51,2.38585944846903,143.151566908142,12.385859448469,743.151566908142,222
52,1.61997976659027,97.1987859954162,11.6199797665903,697.198785995416,197
53,0.423661061543855,25.4196636926313,10.4236610615439,625.419663692631,192
