"customer_id","arrival_time","server1_start","server1_end","server2_start","server2_end","server1_wait","server1_service","server2_wait","server2_service","total_time_in_system","total_wait_time"
1,0.0221543004736304,0.0221543004736304,0.0533133232895174,0.0533133232895174,0.0602664287363999,0,0.031159022815887,0,0.00695310544688255,0.0381121282627695,0
2,0.0488480646384969,0.0533133232895174,0.0877147209957111,0.0877147209957111,0.135024105112303,0.00446525865102053,0.0344013977061937,0,0.0473093841165918,0.086176040473806,0.00446525865102053
3,0.0492530321436269,0.0877147209957111,0.122378130426847,0.135024105112303,0.250993329664185,0.0384616888520842,0.034663409431136,0.0126459746854558,0.115969224551882,0.201740297520558,0.05110766353754
4,0.0534730666954351,0.122378130426847,0.137900587569208,0.250993329664185,0.303028842623532,0.068905063731412,0.0155224571423605,0.113092742094978,0.0520355129593468,0.249555775928097,0.18199780582639
5,0.243531057048389,0.243531057048389,0.334748745737944,0.334748745737944,0.388314638529171,0,0.0912176886895552,0,0.0535658927912264,0.144783581480782,0
6,0.264037430499791,0.334748745737944,0.399100038690057,0.399100038690057,0.40364275951035,0.0707113152381534,0.0643512929521124,0,0.00454272082029272,0.139605329010559,0.0707113152381534
7,0.270610974459374,0.399100038690057,0.401547514085222,0.40364275951035,0.427243011180345,0.128489064230683,0.00244747539516538,0.00209524542512735,0.0236002516699955,0.156632036720971,0.13058430965581
8,0.279180021625246,0.401547514085222,0.480283878233724,0.480283878233724,0.552237776711548,0.122367492459977,0.0787363641485017,0,0.0719538984778238,0.273057755086302,0.122367492459977
9,0.352275667554169,0.480283878233724,0.481497324735366,0.552237776711548,0.632553667149927,0.128008210679555,0.00121344650164246,0.0707404519761813,0.0803158904383791,0.280277999595758,0.198748662655736
10,0.365590511348335,0.481497324735366,0.515305616344437,0.632553667149927,0.634952023249717,0.115906813387031,0.0338082916090701,0.11724805080549,0.00239835609979067,0.269361511901382,0.233154864192521
11,0.391158152852267,0.515305616344437,0.520713944929763,0.634952023249717,0.666860419182705,0.12414746349217,0.00540832858532669,0.114238078319954,0.0319083959329873,0.275702266330438,0.238385541812124
12,0.421128103147542,0.520713944929763,0.536616637721769,0.666860419182705,0.677413121770734,0.0995858417822213,0.0159026927920058,0.130243781460936,0.0105527025880292,0.256285018623192,0.229829623243157
13,0.50785134926736,0.536616637721769,0.542663338353037,0.677413121770734,0.710847377005631,0.0287652884544088,0.00604670063126833,0.134749783417697,0.0334342552348972,0.202996027738271,0.163515071872105
14,0.560272337146015,0.560272337146015,0.574794749937864,0.710847377005631,0.71980831366651,0,0.0145224127918482,0.136052627067768,0.00896093666087838,0.159535976520494,0.136052627067768
15,0.563637994874707,0.574794749937864,0.588115204031491,0.71980831366651,0.727373664065711,0.0111567550631562,0.0133204540936276,0.131693109635018,0.00756535039920103,0.163735669191003,0.142849864698175
16,0.589143510954095,0.589143510954095,0.619868560636659,0.727373664065711,0.84988793644748,0,0.030725049682564,0.107505103429052,0.122514272381769,0.260744425493385,0.107505103429052
17,0.624618662299357,0.624618662299357,0.680800127665554,0.84988793644748,0.954350743228521,0,0.0561814653661974,0.169087808781926,0.10446280678104,0.329732080929164,0.169087808781926
18,0.754336514592768,0.754336514592768,0.777599615014426,0.954350743228521,0.993048024752822,0,0.0232631004216585,0.176751128214094,0.0386972815243012,0.238711510160054,0.176751128214094
